context_tokens,mean_abs_relative_error_pct,rmse_relative_error_pct,max_abs_relative_error_pct,mean_relative_error_pct,passes_reproduction_guardrail,best_mean_abs_error,best_rmse,best_max_error,default_context,guardrail_window_min,guardrail_window_max,interpretation
1367,8.486332,10.119212,20.367078,-2.996392,0,0,0,0,0,977,1040,outside_guardrail
1368,8.486663,10.121541,20.382463,-3.002438,0,0,0,0,0,977,1040,outside_guardrail
1369,8.486994,10.123876,20.397842,-3.008482,0,0,0,0,0,977,1040,outside_guardrail
1370,8.487325,10.126217,20.413215,-3.014525,0,0,0,0,0,977,1040,outside_guardrail
1371,8.487656,10.128563,20.428582,-3.020566,0,0,0,0,0,977,1040,outside_guardrail
1372,8.487987,10.130914,20.443942,-3.026606,0,0,0,0,0,977,1040,outside_guardrail
1373,8.488318,10.133270,20.459297,-3.032645,0,0,0,0,0,977,1040,outside_guardrail
1374,8.488649,10.135632,20.474646,-3.038682,0,0,0,0,0,977,1040,outside_guardrail
1375,8.488979,10.137999,20.489990,-3.044718,0,0,0,0,0,977,1040,outside_guardrail
1376,8.489309,10.140371,20.505327,-3.050752,0,0,0,0,0,977,1040,outside_guardrail
1377,8.489639,10.142749,20.520658,-3.056785,0,0,0,0,0,977,1040,outside_guardrail
1378,8.489969,10.145132,20.535984,-3.062816,0,0,0,0,0,977,1040,outside_guardrail
1379,8.490299,10.147520,20.551303,-3.068846,0,0,0,0,0,977,1040,outside_guardrail
1380,8.490629,10.149913,20.566617,-3.074875,0,0,0,0,0,977,1040,outside_guardrail
1381,8.490959,10.152312,20.581924,-3.080902,0,0,0,0,0,977,1040,outside_guardrail
1382,8.491288,10.154716,20.597226,-3.086928,0,0,0,0,0,977,1040,outside_guardrail
1383,8.491617,10.157125,20.612522,-3.092952,0,0,0,0,0,977,1040,outside_guardrail
1384,8.491946,10.159539,20.627812,-3.098975,0,0,0,0,0,977,1040,outside_guardrail
1385,8.492275,10.161959,20.643096,-3.104996,0,0,0,0,0,977,1040,outside_guardrail
1386,8.492604,10.164384,20.658374,-3.111016,0,0,0,0,0,977,1040,outside_guardrail
1387,8.492933,10.166814,20.673647,-3.117035,0,0,0,0,0,977,1040,outside_guardrail
1388,8.493262,10.169249,20.688913,-3.123052,0,0,0,0,0,977,1040,outside_guardrail
1389,8.493590,10.171690,20.704174,-3.129067,0,0,0,0,0,977,1040,outside_guardrail
1390,8.493918,10.174135,20.719428,-3.135082,0,0,0,0,0,977,1040,outside_guardrail
1391,8.494247,10.176586,20.734677,-3.141094,0,0,0,0,0,977,1040,outside_guardrail
1392,8.494575,10.179042,20.749920,-3.147106,0,0,0,0,0,977,1040,outside_guardrail
1393,8.494903,10.181503,20.765157,-3.153116,0,0,0,0,0,977,1040,outside_guardrail
1394,8.495230,10.183969,20.780388,-3.159124,0,0,0,0,0,977,1040,outside_guardrail
1395,8.495558,10.186441,20.795614,-3.165131,0,0,0,0,0,977,1040,outside_guardrail
1396,8.495885,10.188917,20.810833,-3.171137,0,0,0,0,0,977,1040,outside_guardrail
1397,8.496213,10.191399,20.826047,-3.177141,0,0,0,0,0,977,1040,outside_guardrail
1398,8.496540,10.193885,20.841255,-3.183144,0,0,0,0,0,977,1040,outside_guardrail
1399,8.496867,10.196377,20.856457,-3.189146,0,0,0,0,0,977,1040,outside_guardrail
1400,8.497194,10.198874,20.871653,-3.195146,0,0,0,0,0,977,1040,outside_guardrail
1401,8.497521,10.201376,20.886843,-3.201144,0,0,0,0,0,977,1040,outside_guardrail
