sample_model,sample_platform,opcode,logical_id,slice_id,channel,chip,die,plane,issue_ns,channel_start_ns,channel_end_ns,array_start_ns,array_end_ns,complete_ns
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,6,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,4,-1,7,0,0,1,121024.000,121024.000,121280.000,121280.000,151280.000,151280.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,0,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,1,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,2,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,3,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,4,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,5,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,6,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,5,-1,7,1,0,1,151280.000,151280.000,151536.000,151536.000,181536.000,181536.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,0,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,1,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,2,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,3,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,4,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,5,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,6,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,6,-1,7,0,1,1,181536.000,181536.000,181792.000,181792.000,211792.000,211792.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,0,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,1,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,2,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,3,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,4,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,5,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,6,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_COMPUTE,7,-1,7,1,1,1,211792.000,211792.000,212048.000,212048.000,242048.000,242048.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,0,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,1,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,2,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,3,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,4,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,5,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,6,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,0,7,1,1,0,211792.000,212048.000,216144.000,-1.000,-1.000,216144.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,0,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,1,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,2,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,3,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,4,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,5,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,6,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,1,7,1,1,0,211792.000,216144.000,220240.000,-1.000,-1.000,220240.000
opt_6_7b,cam_llm_s,READ_SLICE,1,2,0,1,1,0,211792.000,220240.000,224336.000,-1.000,-1.000,224336.000
opt_6_7b,cam_llm_s,READ_SLICE,1,2,1,1,1,0,211792.000,220240.000,224336.000,-1.000,-1.000,224336.000
opt_6_7b,cam_llm_s,READ_SLICE,1,2,2,1,1,0,211792.000,220240.000,224336.000,-1.000,-1.000,224336.000
opt_6_7b,cam_llm_s,READ_SLICE,1,2,3,1,1,0,211792.000,220240.000,224336.000,-1.000,-1.000,224336.000
